,birth,death,gender,hair,height,name,race,realm,spouse,biography,history
58,"After ,TA 1684",,Male,,,Arciryas,Men,,Unnamed wife,"Arciryas was the son of King Telumehtar Umbardacil and the younger brother of King Narmacil II. Nothing is told of his life except that he married an unnamed woman and had a son, Calimmacil, who would be the grandfather of Eärnil II.[2]",
59,SA 562,,Male,,,Ardamir (son of Axantur),Men,,,Ardamir was the second child and son of the nobleman Axantur. He had two other siblings: Lindissë and Cemendur. Little of his life is known.,
60,YT 1362,FA 400,Female,Dark,Tall,Aredhel,Elves,,Eöl,"Aredhel Ar-Feiniel dressed in white and silver in the forest of Nan Elmoth, by Marya Filatova
Aredhel was born in YT 1362, the same year as her cousin Galadriel,[1] and lived in Tirion. She followed her father and brothers through Helcaraxë and dwelt in Nevrast with her brother Turgon until Gondolin was complete. When it was, she went with him to the hidden city. After two hundred years, the longing for the forests and wide lands overcame her, and she asked leave to depart. Turgon was unwilling, fearing the exposure of the Hidden Kingdom, but eventually relented and allowed her to leave.
Riding with companions Glorfindel, Ecthelion, and Egalmoth,[3] they were denied entrance to Doriath, it being closed to the Ñoldor. However, they told her of the best way to find the Sons of Fëanor, so they went around to the north. In the dangerous region of Nan Dungortheb, she was separated and reported lost. However, she reached Himlad safely and waited there to meet Celegorm, who was abroad. Eventually, out of boredom, she wandered and became lost in the forest of Nan Elmoth.
Eöl welcomes Aredhel, by Ted Nasmith
Aredhel, by Līga Klavina
Eöl the Dark Elf ruled those woods. Seeing Aredhel and noticing her beauty, he set enchantments about her so that she could not escape the forest. Eventually, she wandered to Eöl's dwelling in the woods, where he finally revealed himself to her. After marrying him, she stayed with him for many years. They had a son named Maeglin. Telling him of her former life and home, she desired to see them again and left Nan Elmoth with Maeglin while Eöl was away. They reached Gondolin (not realizing that Eöl was following them all the while) and were received with rejoicing. Eöl was also discovered and brought before Turgon, but rather than accept Turgon's judgment to remain, he attempted to kill his son for disobeying him with a poisoned javelin concealed in his cloak. Aredhel stepped in front of it, was hit, and died that night from the wound due to its poison.
Eöl was cast down from the city walls and died, while Maeglin became mighty in Gondolin but later betrayed it to Morgoth.[2][4]",
61,TA 1226,TA 1356,Male,,,Argeleb I,Men,"Arthedain,Arnor",Unnamed wife,"Argeleb as he lies dying on the battlefield
Argeleb succeeded his father Malvegil after his death in TA 1349. Because the line of Isildur had failed in the other Dúnedain realms of Cardolan and Rhudaur, Argeleb claimed the Kingship of all of Arnor again, and took the royal prefix ar(a)- as a sign. Cardolan accepted his claim, but it was too late for Rhudaur as it had by then fallen under the control of Angmar and therefore resisted his rule. As a result of this breach, war broke out between the two opposing sides. Argeleb fortified the Weather Hills and was killed defending Weathertop in TA 1356 by evil men from Rhudaur, under the command of the Witch-king of Angmar.
Argeleb I was king for only seven years and was succeeded by his son Arveleg I. He was one-hundred-thirty years old when he died.[2]",
62,TA 1473,TA 1670,Male,,,Argeleb II,Men,Arthedain,Unnamed wife,"Argeleb was the son of King Araphor of Arthedain, and was named for his great-grandfather Argeleb I. He came to the throne in TA 1589 at the death of his father. During his rule the Great Plague reached Eriador, and most of the people of Cardolan perished, especially in Minhiriath.[3] The Hobbits and other peoples living in Eriador all suffered greatly; but the plague lessened as it went north, and Arthedain was scarcely affected. Evil spirits sent by Angmar passed through Rhudaur to Cardolan, and began to dwell in the Barrow-downs.
Perhaps because of the loss of population, he granted the Shire to the Hobbits in TA 1601. Before these lands had been a royal hunting ground. Argeleb was succeeded at his death in TA 1670 by his son Arvegil after a rule of eighty-one years.[2]",
63,Years of the Trees,"YT 1500, or ,FA 1 ,Battle of the Lammoth",Male,Possibly dark,Tall,Argon,Elves,,,"From left to right: Fingon, Turgon, Aredhel, and Argon
Argon was therefore the last child and the third son of Fingolfin and Anairë who was also of the Ñoldor. Argon was the younger brother of Fingon, Turgon, and Aredhel his elder sister. He was most likely born in Tirion during the Years of the Trees. He was described to be the tallest of his brothers and most impetuous. He followed his father through Helcaraxë and set foot on Middle-earth during the First Age. During the Battle of the Lammoth, Argon hewed a path through the foes and killed the Orc captain, before he himself was slain.[1]
Argon was less than 1381 years old when he was killed - a young age for an Elf. His death was the first signs of the Doom of Mandos.",
64,TA 2757,TA 2912,Male,,,Argonui,Men,,Unnamed wife,"Like his forefathers, Argonui was raised by Elrond in Rivendell while his father Arathorn I dwelt in the wild. He became the Chieftain of the Dúnedain in TA 2848, when his father was killed by wolves. During his rule, Gandalf entered Dol Guldur and discovered that it was Sauron who ruled there as he long had feared, and not the Witch-king of Angmar his servant. Thráin II the Dwarf died after giving Gandalf a map and a key. The White Council met in TA 2850, where Gandalf urged an attack on Dol Guldur to drive Sauron out, but Saruman overruled him.
In TA 2890, Bilbo Baggins was born in the Shire, son of Bungo of the respectable Baggins family, and Beladonna, daughter of the Old Took. At the end of Argonui's rule in TA 2911 the Fell Winter began and White Wolves invaded Eriador from the North, some of them crossing the frozen river Baranduin into the Shire. Argonui died in TA 2912, possibly as a result of the Fell Winter, after sixty-four years and was followed by his son Arador.[2]",
65,,,Male,,,Arminas,Elves,,,"For many years after the Nírnaeth Arnoediad, Arminas wandered with his companion Gelmir and sought Turgon and the kingdom of Gondolin unsuccessfully. Afterward, they lived with Círdan at the Havens of Sirion and were sent by him on an errand to Nargothrond bearing a warning from Ulmo of the impending doom of the hidden realm.
Before arriving there, they encountered Tuor at the Gate of the Noldor as he was about to leave Hithlum. When they arrived in Nargothrond, Arminas and Gelmir counseled Orodreth to shut the doors of his realm and remain a hidden folk. Arminas was mistrusted by Túrin, and the two argued over opposing views. Despite their warnings, Orodreth, under the influence of Túrin, did not listen to their advice. Arminas and Gelmir eventually departed south and reported what they were told to Círdan.[1][2][3]
His fate is unknown.",
66,"Late ,First Age",FA 460,Male,,,Arthad,Men,,,"Arthad was a man of Dorthonion before the Dagor Bragollach. Afterwards, he was one of the XII Bëorings that lived in Dorthonion, following Barahir in defying Morgoth's forces. He was killed with the other outlaws at Tarn Aeluin as a result of Gorlim's betrayal.[2]",
67,TA 1864,TA 1975,Male,,,Arvedui,Men,Arthedain,Fíriel,"Arvedui was the son of King Araphant, and came to the throne in TA 1964 at the death of his father. Arvedui married Fíriel, daughter of King Ondoher of Gondor, who was killed in TA 1944. At Ondoher's death, Arvedui sent messages to Gondor claiming the throne as a direct descendant of Isildur, but he was refused: the Men of Gondor appointed the general Eärnil (a descendant of Anárion) as King instead. Arvedui became King of Arthedain twenty years after, and in TA 1974 Angmar attacked again and captured Fornost. Gondor sent help in the form of a great fleet, but it came too late: Arthedain was destroyed, and Arvedui fled north to the Blue Mountains.
After several months spent hiding in old Dwarf mines, Arvedui was driven by hunger to the Icebay of Forochel. Círdan of Lindon sent a ship north to rescue him, and, against the advice of the Snowmen of Forochel, Arvedui boarded it and was drowned in a storm. Two of the Northern palantíri were lost in the shipwreck, but the Ring of Barahir was spared as Arvedui had loaned it to the Lossoth in gratitude for their aid.
Arvedui's ship, frozen in the ice of Forochel
The army from Gondor under Eärnur managed to destroy Angmar with help of Círdan, but Arthedain and all of Arnor were no more, and the kingship had ended. Arvedui died in TA 1975 after ruling for ten years and his son Aranarth became the first of the Chieftains of the Dúnedain.[1]
Thus the prophecy became the truth, for Arvedui was indeed the last King of Arnor, and likewise the line of the Kings of Gondor also ended with Earnil's son Eärnur. The realms were not reunited until over a thousand years later, when Aragorn II became King Elessar. Arvedui's claim was never forgotten by his descendants, though it would be centuries before Aragorn invoked the claim.[2]",
